name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Bijan Robinson";"ATL";"RB";23.7;9833;"9509";"16161";10330;1;1;75
"Christian McCaffrey";"SF";"RB";29.3;5494;"4034";"13130";10152;2;2;1561
"Puka Nacua";"LAR";"WR";24.4;9822;"9493";"16211";9915;3;1;3218
"Jahmyr Gibbs";"DET";"RB";23.6;9821;"9221";"16162";9598;4;3;52
"Jonathan Taylor";"IND";"RB";26.7;3046;"6813";"14802";9053;5;4;2160
"Saquon Barkley";"PHI";"RB";28.7;7257;"4866";"13604";8834;6;5;-1099
"Amon-Ra St. Brown";"DET";"WR";26;1527;"7547";"15287";8667;7;2;963
"James Cook";"BUF";"RB";26;182;"8138";"15715";7941;8;6;3000
"Justin Jefferson";"MIN";"WR";26.3;7569;"6794";"14836";7829;9;3;-841
"De'Von Achane";"MIA";"RB";24;9969;"9226";"16167";7531;10;7;217
"Josh Jacobs";"GB";"RB";27.7;1326;"5850";"14073";7044;11;8;679
"CeeDee Lamb";"DAL";"WR";26.5;4835;"6786";"14832";6759;12;4;-1896
"Bucky Irving";"TB";"RB";23.1;11779;"11584";"16598";6513;13;9;307
"Jaxon Smith-Njigba";"SEA";"WR";23.6;9924;"9488";"16185";6432;14;5;2321
"Josh Allen";"BUF";"QB";29.4;6170;"4984";"13589";6366;15;1;111
"Omarion Hampton";"LAC";"RB";22.6;12573;"12507";"17044";6334;16;10;1378
"Derrick Henry";"BAL";"RB";31.8;5421;"3198";"12626";6154;17;11;-2004
"Ja'Marr Chase";"CIN";"WR";25.6;5856;"7564";"15281";5596;18;6;-4735
"Ashton Jeanty";"LV";"RB";21.8;12612;"12527";"17042";5519;19;12;-1998
"Garrett Wilson";"NYJ";"WR";25.2;6813;"8146";"15753";5388;20;7;1893
"Nico Collins";"HOU";"WR";26.6;5030;"7569";"15290";5370;21;8;-1752
"Lamar Jackson";"BAL";"QB";28.8;3101;"4881";"13593";5228;22;2;-435
"Drake London";"ATL";"WR";24.2;998;"8112";"15751";4894;23;9;-1387
"Trey McBride";"ARI";"TE";25.9;7325;"8130";"15794";4775;24;1;-406
"Rome Odunze";"CHI";"WR";23.3;11763;"11620";"16616";4584;25;10;3009
"Emeka Egbuka";"TB";"WR";23;12595;"12514";"17081";4555;26;11;2432
"Kyren Williams";"LAR";"RB";25.1;7315;"8150";"15710";4331;27;13;-1657
"Brock Bowers";"LV";"TE";22.8;11702;"11604";"16641";4086;28;2;-2072
"Quinshon Judkins";"CLE";"RB";21.9;12632;"12512";"17051";3987;29;14;2794
"Breece Hall";"NYJ";"RB";24.4;4576;"8155";"15708";3775;30;15;-324
"Rashee Rice";"KC";"WR";25.5;9929;"10229";"16194";3749;31;12;1413
"Jalen Hurts";"PHI";"QB";27.2;6407;"6904";"14783";3665;32;3;-495
"Jayden Daniels";"WAS";"QB";24.8;11701;"11566";"16581";3659;33;4;-1025
"Javonte Williams";"DAL";"RB";25.5;6963;"7588";"15256";3633;34;16;2582
"Davante Adams";"LAR";"WR";32.8;1503;"2133";"11675";3529;35;13;407
"Kenneth Walker";"SEA";"RB";25;1749;"8151";"15711";3431;36;17;-152
"Travis Etienne";"JAX";"RB";26.7;3156;"7543";"15253";3418;37;18;2283
"Tyler Warren";"IND";"TE";23.4;12592;"12518";"17102";3401;38;3;1845
"Brian Thomas";"JAX";"WR";23;11726;"11631";"16618";3336;39;14;-3030
"George Pickens";"DAL";"WR";24.6;1436;"8137";"15762";3292;40;15;868
"Alvin Kamara";"NO";"RB";30.2;4144;"4035";"13132";3285;41;19;-1306
"A.J. Brown";"PHI";"WR";28.3;4118;"5859";"14104";3128;42;16;-2854
"Patrick Mahomes";"KC";"QB";30.1;880;"4046";"13116";3020;43;5;218
"Tetairoa McMillan";"CAR";"WR";22.5;12635;"12526";"17071";2979;44;17;63
"Cam Skattebo";"NYG";"RB";23.7;12643;"12481";"17045";2937;45;20;2445
"Courtland Sutton";"DEN";"WR";30;818;"5045";"13630";2894;46;18;94
"Chuba Hubbard";"CAR";"RB";26.3;183;"7594";"15261";2889;47;21;-1200
"George Kittle";"SF";"TE";32;5709;"4217";"13299";2885;48;4;-1453
"Marvin Harrison Jr";"ARI";"WR";23.2;11734;"11628";"16614";2810;49;19;-705
"J.K. Dobbins";"DEN";"RB";26.8;5149;"6806";"14800";2713;50;22;1569
"Jordan Mason";"MIN";"RB";26.4;5469;"8408";"15972";2604;51;23;1401
"DK Metcalf";"PIT";"WR";27.8;5240;"5846";"14102";2589;52;20;-368
"Chase Brown";"CIN";"RB";25.5;9967;"9224";"16181";2525;53;24;-3840
"Jaylen Waddle";"MIA";"WR";26.9;1409;"7526";"15284";2469;54;21;604
"Quentin Johnston";"LAC";"WR";24.1;9879;"9754";"16188";2453;55;22;2521
"Deebo Samuel";"WAS";"WR";29.7;2495;"5872";"14136";2436;56;23;1234
"Zay Flowers";"BAL";"WR";25.1;9930;"9997";"16190";2402;57;24;377
"TreVeyon Henderson";"NE";"RB";23;12580;"12529";"17043";2376;58;25;-2029
"David Montgomery";"DET";"RB";28.3;7515;"5892";"14071";2337;59;26;-164
"Ladd McConkey";"LAC";"WR";23.9;11766;"11635";"16627";2305;60;25;-2808
"Jaylen Warren";"PIT";"RB";26.9;6285;"8228";"15742";2180;61;27;927
"Michael Pittman";"IND";"WR";28;8259;"6819";"14842";2136;62;26;1385
"Justin Herbert";"LAC";"QB";27.6;8448;"6797";"14779";2100;63;6;1328
